"bucket","lower_limit","upper_limit","num"
1,0.00000,977.17520,36448
2,977.17520,1954.35040,390
4,2931.52560,3908.70080,1424
6,4885.87600,5863.05120,198
7,5863.05120,6840.22640,335
8,6840.22640,7817.40160,112
9,7817.40160,8794.57680,78
10,8794.57680,9771.75200,7
11,9771.75200,10748.92720,95
12,10748.92720,11726.10240,1320
13,11726.10240,12703.27760,1145
14,12703.27760,13680.45280,365
15,13680.45280,14657.62800,47
16,14657.62800,15634.80320,716
17,15634.80320,16611.97840,219
18,16611.97840,17589.15360,590
19,17589.15360,18566.32880,604
20,18566.32880,19543.50400,776
21,19543.50400,20520.67920,46
22,20520.67920,21497.85440,1356
23,21497.85440,22475.02960,1276
24,22475.02960,23452.20480,1485
25,23452.20480,24429.38000,674
26,24429.38000,25406.55520,467
27,25406.55520,26383.73040,972
28,26383.73040,27360.90560,1488
29,27360.90560,28338.08080,460
30,28338.08080,29315.25600,501
31,29315.25600,30292.43120,1760
32,30292.43120,31269.60640,295
33,31269.60640,32246.78160,603
35,33223.95680,34201.13200,290
36,34201.13200,35178.30720,242
38,36155.48240,37132.65760,57
41,39087.00800,40064.18320,23
44,42018.53360,42995.70880,197
45,42995.70880,43972.88400,129
46,43972.88400,44950.05920,439
47,44950.05920,45927.23440,259
51,48858.76000,49835.93520,452
57,54721.81120,55698.98640,139
66,63516.38800,64493.56320,890
68,65470.73840,66447.91360,340
77,74265.31520,75242.49040,233
79,76219.66560,77196.84080,893
81,78174.01600,79151.19120,162
84,81105.54160,82082.71680,158
85,82082.71680,83059.89200,911
86,83059.89200,84037.06720,134
87,84037.06720,85014.24240,152
105,101626.22080,102603.39600,580
107,103580.57120,104557.74640,362
108,104557.74640,105534.92160,137
114,110420.79760,111397.97280,833
116,112375.14800,113352.32320,285
125,121169.72480,122146.90000,351
131,127032.77600,128009.95120,222
132,128009.95120,128987.12640,2
133,128987.12640,129964.30160,403
138,133873.00240,134850.17760,687
152,147553.45520,148530.63040,4
161,156348.03200,157325.20720,266
162,157325.20720,158302.38240,27
169,164165.43360,165142.60880,373
189,183708.93760,184686.11280,609
192,186640.46320,187617.63840,60
217,211069.84320,212047.01840,68
220,214001.36880,214978.54400,59
223,216932.89440,217910.06960,656
232,225727.47120,226704.64640,440
249,242339.44960,243316.62480,143
264,256997.07760,257974.25280,108
291,283380.80800,284357.98320,333
301,293152.56000,294129.73520,106
321,312696.06400,313673.23920,681
329,320513.46560,321490.64080,254
334,325399.34160,326376.51680,297
349,340056.96960,341034.14480,252
371,361554.82400,362531.99920,845
377,367417.87520,368395.05040,101
391,381098.32800,382075.50320,58
394,384029.85360,385007.02880,36
407,396733.13120,397710.30640,458
412,401619.00720,402596.18240,157
419,408459.23360,409436.40880,100
436,425071.21200,426048.38720,179
486,473929.97200,474907.14720,305
507,494450.65120,495427.82640,191
543,529628.95840,530606.13360,840
545,531583.30880,532560.48400,349
562,548195.28720,549172.46240,7
701,684022.64000,684999.81520,545
835,814964.11680,815941.29200,770
891,869685.92800,870663.10320,1
1063,1037760.06240,1038737.23760,156
1066,1040691.58800,1041668.76320,732
1100,1073915.54480,1074892.72000,595
1545,1508758.50880,1509735.68400,439
1922,1877153.55920,1878130.73440,297
2192,2140990.86320,2141968.03840,373
4001,3908700.80000,3909677.97520,496
